Comment,,510MJ3mWin.5mH,,510MJ3mWin.5mH,,,,
S/N,,9178815,,9178815,,,,
Sensor,,Internal Digital Temperature,,Internal RH,,,,
Low,,,,,,,,
Pre-low,,,,,,,,
Pre-high,,,,,,,,
High,,,,,,,,
,,,,,,,,
Date,Time,Internal Digital Temperature,Alarm Type,Internal RH,Alarm Type,Time Stamp Comment,,
27/02/2020,00:00:51,22.81,,26.20,,,,
27/02/2020,00:01:51,22.81,,26.20,,,,
27/02/2020,00:02:51,22.81,,26.20,,,,
27/02/2020,00:03:51,22.81,,26.20,,,,
27/02/2020,00:04:51,22.81,,26.16,,,,
27/02/2020,00:05:51,22.81,,26.16,,,,
27/02/2020,00:06:51,22.81,,26.16,,,,
27/02/2020,00:07:51,22.81,,26.16,,,,
27/02/2020,00:08:51,22.81,,26.16,,,,
27/02/2020,00:09:51,22.81,,26.16,,,,
27/02/2020,00:10:51,22.81,,26.16,,,,
27/02/2020,00:11:51,22.81,,26.16,,,,
27/02/2020,00:12:51,22.81,,26.16,,,,
27/02/2020,00:13:51,22.82,,26.16,,,,
27/02/2020,00:14:51,22.82,,26.16,,,,
27/02/2020,00:15:51,22.82,,26.16,,,,
27/02/2020,00:16:51,22.82,,26.13,,,,
27/02/2020,00:17:51,22.84,,26.13,,,,
27/02/2020,00:18:51,22.84,,26.13,,,,
27/02/2020,00:19:51,22.84,,26.13,,,,
27/02/2020,00:20:51,22.83,,26.13,,,,
27/02/2020,00:21:51,22.84,,26.13,,,,
27/02/2020,00:22:51,22.84,,26.13,,,,
27/02/2020,00:23:51,22.84,,26.10,,,,
27/02/2020,00:24:51,22.84,,26.10,,,,
27/02/2020,00:25:51,22.83,,26.10,,,,
27/02/2020,00:26:51,22.84,,26.10,,,,
27/02/2020,00:27:51,22.84,,26.10,,,,
27/02/2020,00:28:51,22.84,,26.10,,,,
27/02/2020,00:29:51,22.84,,26.10,,,,
27/02/2020,00:30:51,22.84,,26.10,,,,
27/02/2020,00:31:51,22.83,,26.10,,,,
27/02/2020,00:32:51,22.84,,26.10,,,,
27/02/2020,00:33:51,22.84,,26.10,,,,
27/02/2020,00:34:51,22.84,,26.10,,,,
27/02/2020,00:35:51,22.84,,26.10,,,,
27/02/2020,00:36:51,22.83,,26.06,,,,
27/02/2020,00:37:51,22.84,,26.07,,,,
27/02/2020,00:38:51,22.84,,26.07,,,,
27/02/2020,00:39:51,22.84,,26.07,,,,
27/02/2020,00:40:51,22.86,,26.07,,,,
27/02/2020,00:41:51,22.86,,26.07,,,,
27/02/2020,00:42:51,22.86,,26.07,,,,
27/02/2020,00:43:51,22.88,,26.07,,,,
27/02/2020,00:44:51,22.88,,26.07,,,,
27/02/2020,00:45:51,22.89,,26.07,,,,
27/02/2020,00:46:51,22.89,,26.07,,,,
27/02/2020,00:47:51,22.90,,26.04,,,,
27/02/2020,00:48:51,22.91,,26.04,,,,
27/02/2020,00:49:51,22.91,,26.04,,,,
27/02/2020,00:50:51,22.91,,26.04,,,,
27/02/2020,00:51:51,22.93,,26.00,,,,
27/02/2020,00:52:51,22.92,,26.00,,,,
27/02/2020,00:53:51,22.93,,26.00,,,,
27/02/2020,00:54:51,22.93,,26.00,,,,
27/02/2020,00:55:51,22.95,,25.97,,,,
27/02/2020,00:56:51,22.95,,25.97,,,,
27/02/2020,00:57:51,22.95,,25.97,,,,
27/02/2020,00:58:51,22.95,,25.97,,,,
27/02/2020,00:59:51,22.95,,25.97,,,,
27/02/2020,01:00:51,22.95,,25.97,,,,
27/02/2020,01:01:51,22.95,,25.97,,,,
27/02/2020,01:02:51,22.95,,25.97,,,,
27/02/2020,01:03:51,22.95,,25.97,,,,
27/02/2020,01:04:51,22.95,,25.97,,,,
27/02/2020,01:05:51,22.95,,25.97,,,,
27/02/2020,01:06:51,22.96,,25.97,,,,
27/02/2020,01:07:51,22.96,,25.97,,,,
27/02/2020,01:08:51,22.97,,25.97,,,,
27/02/2020,01:09:51,22.97,,25.97,,,,
27/02/2020,01:10:51,22.97,,25.97,,,,
27/02/2020,01:11:51,22.98,,25.94,,,,
27/02/2020,01:12:51,22.98,,25.94,,,,
27/02/2020,01:13:51,23.00,,25.94,,,,
27/02/2020,01:14:51,23.00,,25.94,,,,
27/02/2020,01:15:51,23.00,,25.94,,,,
27/02/2020,01:16:51,23.02,,25.94,,,,
27/02/2020,01:17:51,23.02,,25.94,,,,
27/02/2020,01:18:51,23.04,,25.94,,,,
27/02/2020,01:19:51,23.04,,25.91,,,,
27/02/2020,01:20:51,23.04,,25.91,,,,
27/02/2020,01:21:51,23.05,,25.91,,,,
27/02/2020,01:22:51,23.05,,25.91,,,,
27/02/2020,01:23:51,23.06,,25.88,,,,
27/02/2020,01:24:51,23.06,,25.88,,,,
27/02/2020,01:25:51,23.07,,25.88,,,,
27/02/2020,01:26:51,23.07,,25.88,,,,
27/02/2020,01:27:51,23.09,,25.88,,,,
27/02/2020,01:28:51,23.09,,25.84,,,,
27/02/2020,01:29:51,23.09,,25.84,,,,
27/02/2020,01:30:51,23.10,,25.84,,,,
27/02/2020,01:31:51,23.11,,25.85,,,,
27/02/2020,01:32:51,23.11,,25.85,,,,
27/02/2020,01:33:51,23.11,,25.85,,,,
27/02/2020,01:34:51,23.11,,25.81,,,,
27/02/2020,01:35:51,23.13,,25.81,,,,
27/02/2020,01:36:51,23.13,,25.81,,,,
27/02/2020,01:37:51,23.13,,25.81,,,,
27/02/2020,01:38:51,23.13,,25.81,,,,
27/02/2020,01:39:51,23.14,,25.82,,,,
27/02/2020,01:40:51,23.16,,25.82,,,,
27/02/2020,01:41:51,23.15,,25.78,,,,
27/02/2020,01:42:51,23.16,,25.78,,,,
27/02/2020,01:43:51,23.18,,25.78,,,,
27/02/2020,01:44:51,23.18,,25.79,,,,
27/02/2020,01:45:51,23.18,,25.79,,,,
